Query_A,CPU_A,Scan_A_MB,Duration_A_s,Tables_A,Joins_A,Subqueries_A,Query_B,CPU_B,Scan_B_MB,Duration_B_s,Tables_B,Joins_B,Subqueries_B,Telemetry_Distance,Structural_Distance,Danger_Ratio
TPCH-Q22,1.0,85.8,0.26,2,0,3,TPCDS-Q82,1.0,75.1,0.33,5,8,8,0.0014,50.0,34972.2
TPCDS-Q24,0.5,53.3,0.36,4,5,1,TPCDS-Q82,1.0,75.1,0.33,5,8,8,0.0014,40.6,28473.1
TPCDS-Q5,18.0,14.5,1.66,6,5,0,TPCDS-Q87,20.0,22.1,1.60,4,24,8,0.0028,78.9,28275.5
TPCH-Q16,2.0,82.0,0.42,3,1,1,TPCDS-Q82,1.0,75.1,0.33,5,8,8,0.0020,53.0,26934.5
TPCDS-Q1,0.5,68.7,0.23,4,2,1,TPCDS-Q82,1.0,75.1,0.33,5,8,8,0.0020,46.6,23789.4
TPCH-Q19,18.5,66.9,1.79,2,1,0,TPCDS-Q87,20.0,22.1,1.60,4,24,8,0.0045,89.0,19588.2
TPCDS-Q28,4.0,49.9,0.53,4,3,1,TPCDS-Q63,3.0,59.1,0.54,6,8,2,0.0013,24.4,18153.8
TPCH-Q22,1.0,85.8,0.26,2,0,3,TPCDS-Q1,0.5,68.7,0.23,4,2,1,0.0012,22.0,17906.3
TPCDS-Q31,3.0,75.3,0.46,4,3,0,TPCDS-Q63,3.0,59.1,0.54,6,8,2,0.0016,27.8,17263.6
TPCDS-Q20,6.0,28.2,0.87,5,4,0,TPCDS-Q39,8.0,22.4,0.74,1,0,8,0.0034,56.0,16594.7
TPCDS-Q35,1.0,50.7,0.57,2,1,0,TPCDS-Q63,3.0,59.1,0.54,6,8,2,0.0026,38.3,14668.9
TPCDS-Q39,8.0,22.4,0.74,1,0,8,TPCDS-Q67,5.5,28.5,0.87,5,4,0,0.0038,56.0,14665.1
TPCDS-Q23,3.5,106.8,0.29,3,2,0,TPCDS-Q82,1.0,75.1,0.33,5,8,8,0.0036,53.3,14637.5
TPCDS-Q31,3.0,75.3,0.46,4,3,0,TPCDS-Q82,1.0,75.1,0.33,5,8,8,0.0033,48.6,14620.8
TPCDS-Q66,0.5,150.6,0.31,7,5,3,TPCDS-Q81,1.5,135.4,0.23,4,3,0,0.0020,28.9,14430.4
TPCDS-Q4,3.0,58.3,0.67,3,2,0,TPCDS-Q63,3.0,59.1,0.54,6,8,2,0.0023,32.6,14043.2
TPCDS-Q4,3.0,58.3,0.67,3,2,0,TPCDS-Q84,3.0,30.7,0.74,7,7,0,0.0019,25.8,13680.5
TPCDS-Q35,1.0,50.7,0.57,2,1,0,TPCDS-Q82,1.0,75.1,0.33,5,8,8,0.0043,59.2,13606.7
TPCDS-Q48,2.5,12.9,0.25,3,2,0,TPCDS-Q82,1.0,75.1,0.33,5,8,8,0.0041,53.3,13066.9
TPCDS-Q81,1.5,135.4,0.23,4,3,0,TPCDS-Q82,1.0,75.1,0.33,5,8,8,0.0038,48.6,12896.1
