query,run,qid,client_elapsed_s,exec_wallclock_s,total_cpu_sec,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,other_wallclock_s
full_scan_lineitem,cold,411734,0.7,0.478,0,1830.973,0.337,0,0,1.011
full_scan_orders,cold,411747,0.322,0.104,0,457.764,0.088,0,0,0.264
full_scan_supplier,cold,411767,0.424,0.017,0,3.052,0.007,0,0,0.021
selectivity_01pct,cold,411784,5.626,5.195,0,3.322,0.314,0,0,0.942
selectivity_05pct,cold,411797,0.9,0.216,0,79.9,0.126,0,0,0.378
selectivity_10pct,cold,411817,0.416,0.122,0,262.464,0.11,0,0,0.33
selectivity_25pct,cold,411832,0.402,0.139,0,612.006,0.129,0,0,0.387
selectivity_50pct,cold,411845,0.396,0.177,0.44000000000000006,1373.256,0.167,0,0,0.501
selectivity_75pct,cold,411865,0.427,0.205,0,2135.922,0.195,0,0,0.585
selectivity_100pct,cold,411878,0.42,0.185,0.6,1830.973,0.176,0,0,0.528
full_scan_lineitem,warm,411895,0.42,0.191,0,1830.973,0.179,0,0,0.537
full_scan_orders,warm,411908,0.304,0.151,0,457.764,0.14,0,0,0.42
full_scan_supplier,warm,411928,0.128,0.014,0,3.052,0.004,0,0,0.012
selectivity_01pct,warm,411943,0.214,0.1,0,3.322,0.09,0,0,0.27
selectivity_05pct,warm,411956,0.226,0.11,0,79.9,0.099,0,0,0.297
selectivity_10pct,warm,411976,0.417,0.139,0,262.464,0.128,0,0,0.384
selectivity_25pct,warm,411991,0.256,0.141,0,612.006,0.13,0,0,0.39
selectivity_50pct,warm,412008,0.62,0.251,0,1373.256,0.233,0,0,0.699
selectivity_75pct,warm,412032,0.32,0.206,0,2135.922,0.195,0,0,0.585
selectivity_100pct,warm,412045,0.777,0.184,0,1830.973,0.175,0,0,0.525
