query,run,qid,client_elapsed_s,exec_wallclock_s,total_cpu_sec,s3_scan_mb,s3_files
Q1,cold,412513,1.691,0.868,0.36,53.845,1
Q2,cold,412527,2.96,1.903,0.04,0.098,1
Q3,cold,412534,2.775,1.061,0,53.845,1
Q4,cold,412541,2.1,1.06,0,232.237,1
Q5,cold,412548,2.328,1.182,0,0.001,1
Q6,cold,412557,1.642,0.877,0,53.845,1
Q7,cold,412564,2.161,1.095,0,0.002,1
Q8,cold,412571,2.566,1.567,0.08,0.001,1
Q9,cold,412578,2.158,1.281,0.08,0.864,2
Q10,cold,412585,2.089,1.177,0.13999999999999999,3.09,1
Q11,cold,412592,2.842,2.114,0,0.005,2
Q12,cold,412599,1.843,0.98,0.42000000000000004,53.845,1
Q13,cold,412606,8.911,8.166,0.44000000000000006,128.827,2
Q14,cold,412619,1.998,1.039,0.22000000000000003,53.845,1
Q15,cold,412630,1.955,0.222,0,53.845,1
Q16,cold,412637,1.746,0.747,0.13999999999999999,15.368,1
Q17,cold,412644,6.262,5.357,0.02,0.098,1
Q18,cold,412651,46.349,45.405,18.06,464.475,2
Q19,cold,412667,7.066,6.227,0.45999999999999996,53.845,1
Q20,cold,412679,11.278,5.959,0.08,15.37,2
Q21,cold,412692,21.264,4.919,0,3.09,1
Q22,cold,412702,17.408,15.201,0.27999999999999997,23.491,3
Q1,warm,412716,1.278,0.807,0.4,53.845,1
Q2,warm,412723,2.52,2.092,0.13999999999999999,0.098,1
Q3,warm,412730,1.775,1.206,0.4,53.845,1
Q4,warm,412739,1.432,0.898,0,232.237,1
Q5,warm,412746,1.569,1.179,0,0.001,1
Q6,warm,412753,1.278,0.797,0,53.845,1
Q7,warm,412760,1.737,1.092,0.04,0.002,1
Q8,warm,412767,2.019,1.53,0.12,0.001,1
Q9,warm,412774,1.945,1.319,0.18,0.864,2
Q10,warm,412781,2.497,2.08,0.16,3.09,1
Q11,warm,412788,1.631,1.106,0.08,0.005,2
Q12,warm,412795,1.44,0.978,0.33999999999999997,53.845,1
Q13,warm,412802,1.75,1.11,0.12,128.827,2
Q14,warm,412816,1.401,0.936,0.36,53.845,1
Q15,warm,412826,1.697,0.253,0,53.845,1
Q16,warm,412833,1.299,0.701,0,15.368,1
Q17,warm,412840,1.432,0.908,0,0.098,1
Q18,warm,412849,13.688,13.33,13.12,464.475,2
Q19,warm,412860,1.761,1.017,0,53.845,1
Q20,warm,412874,2.07,1.134,0,15.37,2
Q21,warm,412891,2.41,0.087,0,3.09,1
Q22,warm,412903,2.77,1.388,0.27999999999999997,23.491,3
