query,run,qid,client_elapsed_s,exec_wallclock_s,total_cpu_sec,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,other_wallclock_s
Q1,cold,207598,2.969,2.564,9.879999999999999,3045.756,2.548,0.005,2.54,17.839
Q2,cold,207617,7.289,6.9,0,3.775,0.179,5.278,0.372,1.264
Q3,cold,207637,1.264,1.023,1.44,227.305,0.629,145.294,0.952,4.406
Q4,cold,207650,1.196,0.959,0.4,82.37,0.846,72.128,1.686,8.428
Q5,cold,207665,1.229,0.905,0.52,145.335,0.681,90.072,0.81,6.102
Q6,cold,207681,0.649,0.263,0,39.114,0.251,0,0,0.753
Q7,cold,207700,6.247,5.946,0.06,104.836,0.423,55.982,0.525,3.785
Q8,cold,207715,7.326,7.075,5.779999999999999,76.192,1.721,68.074,1.817,12.025
Q9,cold,207735,8.91,8.569,12.88,561.501,2.071,545.686,3.155,18.6
Q10,cold,207748,1.259,0.987,0.04,298.141,0.529,341.645,0.901,4.736
Q11,cold,207763,5.055,4.793,0,208.417,0.09,29.67,0.09,0.622
Q12,cold,207790,2.954,2.726,0.4,26.516,1.453,11.857,2.666,7.847
Q13,cold,207805,2.614,2.272,9.0,481.424,2.142,362.504,4.17,27.762
Q14,cold,207824,1.127,0.774,0.08,87.569,0.612,17.148,0.576,1.776
Q15,cold,207846,0.994,0.088,0,2.29,0.027,0,0.013,0.135
Q16,cold,207867,6.56,5.51,0.2,164.203,0.387,387.792,0.724,3.512
Q17,cold,207887,6.453,6.183,0.64,5.896,0.324,1.553,0.61,2.528
Q18,cold,207902,5.124,4.873,21.84,3201.456,4.25,2593.164,7.63,30.071
Q19,cold,207915,5.794,5.455,0,0.49,0.349,0.194,0.019,2.094
Q20,cold,207938,11.871,10.988,0,13.929,0.357,47.876,1.019,2.478
Q21,cold,207959,7.872,0.065,0,3.208,0.024,2.287,0.02,0.175
Q22,cold,207982,1.25,0.72,0,54.963,0.164,66.405,0.538,1.522
Q1,warm,207995,2.661,2.472,12.9,3045.755,2.456,0.004,2.45,17.194
Q2,warm,208010,0.782,0.439,0,3.784,0.068,5.314,0.115,0.529
Q3,warm,208024,0.922,0.757,0.82,1178.156,0.526,145.048,0.688,3.686
Q4,warm,208043,0.84,0.705,1.4,82.17,0.618,71.528,1.221,6.146
Q5,warm,208058,0.921,0.67,1.6,114.266,0.501,90.07,0.571,4.485
Q6,warm,208071,0.308,0.141,0,39.114,0.129,0,0,0.387
Q7,warm,208085,0.847,0.701,0,104.836,0.348,55.982,0.496,3.096
Q8,warm,208106,1.228,0.991,1.16,76.192,0.633,68.074,0.749,4.401
Q9,warm,208121,2.048,1.866,4.08,332.61,1.134,545.686,1.695,8.31
Q10,warm,208135,1.078,0.907,0.74,279.511,0.499,341.625,0.805,4.461
Q11,warm,208154,0.408,0.209,0,208.417,0.071,29.67,0.073,0.49
Q12,warm,208169,0.719,0.506,0,26.516,0.353,11.857,0.467,1.233
Q13,warm,208182,2.105,1.917,5.88,481.424,1.845,362.504,3.611,23.925
Q14,warm,208202,0.41,0.199,0,87.569,0.112,17.148,0.066,0.488
Q15,warm,208218,0.512,0.043,0,2.29,0.009,0,0.004,0.044
Q16,warm,208233,7.059,0.486,0.52,164.289,0.312,388.049,0.53,2.804
Q17,warm,208247,0.944,0.69,0,5.899,0.343,1.56,0.537,2.588
Q18,warm,208266,4.507,4.295,21.04,3143.075,3.638,2418.021,7.047,25.808
Q19,warm,208281,0.717,0.54,1.3,0.49,0.434,0.194,0.018,2.604
Q20,warm,208297,1.18,0.499,0,15.112,0.181,47.876,0.478,1.264
Q21,warm,208323,2.828,0.05,0,3.025,0.023,1.921,0.022,0.163
Q22,warm,208339,1.023,0.584,0,54.963,0.179,66.405,0.593,1.681
