databaseid,qminute,cputime_sum,scanbytes_sum,avg_durationtime,avg_memoryused,join,agg,sort,filter,proj,cputime_interval,scanbytes_interval,duration_interval,memory_interval,filter_interval,sort_interval,agg_interval,join_interval
186:8,2024-05-10 21:00:00,34.25034821864218,11.587910893391957,0.6192881355932205,,0.16101694915254236,1.0,0.06779661016949153,0.03892145507257511,0.0,"[9.56734821864217, 1.4819999999999998, 3.6369999999999996, 1.952, 2.79, 4.251, 3.1189999999999998, 0.863, 4.9990000000000006, 1.59]","[1.858418705891958, 0.64453125, 1.5078125, 0.2998046875, 4.6572265625, 0.2099609375, 0.2724609375, 0.416015625, 1.27734375, 0.4443359375]","[1.4492941176470584, 0.1577222222222222, 0.5985833333333332, 0.34018181818181814, 0.44683333333333325, 1.056125, 1.2429999999999999, 0.13675, 0.9013636363636365, 0.25766666666666665]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.003737950029510136, 0.0, 0.14534937663021189, 0.0, 0.11256100148525355, 0.0, 0.0, 0.06967213114754099, 0.036934294998811075, 0.015993265993265993]","[0.058823529411764705, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.17647058823529413, 0.1111111111111111, 0.08333333333333333, 0.2727272727272727, 0.16666666666666666, 0.25, 0.2, 0.16666666666666666, 0.2727272727272727, 0.0]"
186:8,2024-05-10 21:05:00,35.057000000000016,5.2109375,0.7379042553191489,,0.19148936170212766,1.0,0.1276595744680851,0.03980374228577435,0.0,"[3.9300000000000006, 10.70474731549198, 6.09925268450802, 1.677, 3.3499999999999996, 0.9, 2.3000000000000003, 1.5070000000000001, 2.3579999999999997, 2.231]","[1.546875, 0.2578021616860525, 0.34180721331394753, 0.69140625, 0.259765625, 0.517578125, 0.416015625, 0.171875, 0.5517578125, 0.4560546875]","[0.7083636363636363, 3.92975, 2.7540909090909094, 0.3245, 0.8287499999999999, 0.16959999999999997, 0.45169999999999993, 0.748, 0.3550769230769231, 0.3975454545454545]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.1652892561983471, 0.0, 0.0, 0.0, 0.0, 0.0, 0.096227397198271, 0.061128526645768025]","[0.09090909090909091, 0.0, 0.09090909090909091, 0.0, 0.0, 0.3, 0.4, 0.0, 0.15384615384615385, 0.09090909090909091]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2727272727272727, 0.25, 0.2727272727272727, 0.2, 0.25, 0.2, 0.2, 0.0, 0.23076923076923078, 0.09090909090909091]"
186:8,2024-05-10 21:10:00,46.2307172111493,4.536948139636928,0.8259099099099103,,0.16216216216216217,1.0,0.09009009009009009,0.1229667395793988,0.0,"[1.5270000000000001, 1.323, 2.0781393663966274, 2.5728606336033724, 10.575037233065334, 18.400962766934665, 4.252, 0.957, 1.6789999999999998, 2.865717211149278]","[0.21484375, 0.2412109375, 0.39215680279120374, 0.5140931972087963, 0.1878189612236429, 0.2242904137763571, 0.98828125, 0.37109375, 1.068359375, 0.3347997021369278]","[0.603, 0.37057142857142855, 0.35275000000000006, 0.3125, 3.584625, 7.041125, 0.43994736842105264, 0.1871, 0.17438888888888884, 0.7196250000000001]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.2126307922272048, 0.1767676767676768, 0.0, 0.0, 0.17711807604395488, 0.05205479452054794, 0.21328432104294173, 0.02387640449438201]","[0.0, 0.0, 0.0, 0.05555555555555555, 0.125, 0.125, 0.10526315789473684, 0.1, 0.05555555555555555, 0.375]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.14285714285714285, 0.08333333333333333, 0.2222222222222222, 0.25, 0.375, 0.10526315789473684, 0.2, 0.1111111111111111, 0.25]"
186:8,2024-05-10 21:15:00,54.78228278885072,6.934731547863072,0.7867000000000001,,0.18571428571428572,0.9928571428571429,0.11428571428571428,0.2130544745832671,0.0,"[2.2992827888507223, 0.9440000000000001, 1.2060000000000002, 3.0184052361974882, 14.169417899200708, 4.116726463295652, 2.183450401306152, 4.4008703262126545, 15.184797019447991, 7.259332654339355]","[0.8927393603630722, 0.314453125, 0.26953125, 0.43679785820582906, 0.3094921100351972, 2.1701504516117076, 0.8833642676472664, 0.7148738684389616, 0.27432421735998125, 0.6690050392010571]","[0.355, 0.23112500000000002, 0.2636666666666667, 2.4820769230769226, 3.6472499999999997, 0.22048648648648642, 0.30644444444444446, 4.9703333333333335, 8.2918, 2.183227272727273]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.11113677177362517, 0.08611111111111111, 0.0, 0.07479633768293562, 0.0, 0.4644566018659491, 0.19957495809360942, 0.06421529443112177, 0.2823529411764706, 0.17826722173334233]","[0.23529411764705882, 0.0, 0.0, 0.07692307692307693, 0.125, 0.13513513513513514, 0.1111111111111111, 0.0, 0.0, 0.13636363636363635]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0]","[0.29411764705882354, 0.125, 0.1111111111111111, 0.23076923076923078, 0.25, 0.16216216216216217, 0.2222222222222222, 0.1111111111111111, 0.2, 0.2727272727272727]"
186:8,2024-05-10 21:20:00,48.857999999999976,10.6904296875,0.8083865546218486,,0.17647058823529413,1.0,0.07563025210084033,0.24171460038303677,0.0,"[1.2029999999999998, 7.707, 7.902894684840627, 10.074359781090356, 8.421745534069016, 3.3890000000000002, 2.377687613197115, 3.3251749408489606, 2.658936134027899, 1.7982013119260236]","[0.1552734375, 3.2763671875, 0.5022811025696932, 0.5416642099303068, 0.28125, 1.326171875, 0.7024441228434042, 2.5484102049723756, 0.6788835735913102, 0.6776839735929101]","[0.594, 0.7379999999999999, 3.1268888888888893, 3.958500000000001, 2.8850000000000002, 0.6100000000000001, 0.6386000000000001, 0.25496969696969696, 0.6843, 0.4104444444444444]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.09090909090909091, 0.29067738710765273, 0.004529709565680785, 0.04176448609857734, 0.0, 0.03743315508021388, 0.10254317965456276, 0.5964416337355138, 0.09659090909090907, 0.04166666666666666]","[0.0, 0.05, 0.0, 0.08333333333333333, 0.0, 0.0, 0.1, 0.09090909090909091, 0.0, 0.3333333333333333]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.25, 0.15, 0.2222222222222222, 0.25, 0.2857142857142857, 0.18181818181818182, 0.4, 0.12121212121212122, 0.3, 0.1111111111111111]"
186:8,2024-05-10 21:25:00,38.00299999999999,9.6708984375,0.9708571428571425,,0.16883116883116883,0.987012987012987,0.1038961038961039,0.07209097127850812,0.0,"[3.0700000000000003, 1.779, 1.6460000000000001, 1.2259999999999998, 3.5280000000000005, 18.430820124259718, 4.49517987574028, 2.4112191987189004, 0.9137808012810993, 0.503]","[1.5947265625, 0.876953125, 0.525390625, 2.4951171875, 0.76171875, 0.115234375, 1.12109375, 1.6034851493368538, 0.4912414131631462, 0.0859375]","[0.6666666666666665, 0.38799999999999996, 0.5316666666666666, 0.23990000000000006, 0.871875, 8.325999999999999, 2.3465000000000003, 0.43409090909090914, 0.2643, 0.3283333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.007168458781362001, 0.05691056910569106, 0.09078590785907859, 0.18202764976958524, 0.05519480519480517, 0.2, 0.0, 0.10615846827753472, 0.0, 0.0]","[0.1111111111111111, 0.1111111111111111, 0.0, 0.2, 0.25, 0.0, 0.125, 0.09090909090909091, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0]","[0.2222222222222222, 0.2222222222222222, 0.16666666666666666, 0.1, 0.125, 0.2, 0.125, 0.2727272727272727, 0.1, 0.0]"
186:8,2024-05-10 21:30:00,23.895999999999948,4.5400390625,0.060174731182795614,,0.09543010752688172,0.9650537634408602,0.0967741935483871,0.2459645074931892,0.0,"[0.0, 3.7749999999999977, 4.900999999999999, 3.5359999999999934, 3.734999999999996, 7.948999999999998, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.716796875, 1.060546875, 0.3671875, 0.3662109375, 2.029296875, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.06026495726495725, 0.061032679738562086, 0.03590270270270268, 0.0378313953488372, 0.13018803418803418, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.2856247260351943, 0.3424636077989309, 0.08305769666094381, 0.23925996935289254, 0.34755709422740655, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.09401709401709402, 0.0784313725490196, 0.10810810810810811, 0.11627906976744186, 0.07692307692307693, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.9145299145299145, 1.0, 0.9837837837837838, 0.9244186046511628, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.1111111111111111, 0.1437908496732026, 0.010810810810810811, 0.09883720930232558, 0.1452991452991453, 0.0, 0.0, 0.0, 0.0]"
186:8,2024-05-10 21:35:00,8.639999999999956,1.857421875,0.017995945945945904,,0.01756756756756757,0.08108108108108109,0.10945945945945947,0.9555413912027872,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.7289999999999932, 2.0189999999999886, 1.4829999999999954, 3.4089999999999976, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.15234375, 0.333984375, 0.123046875, 1.248046875, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0136703296703296, 0.013290322580645076, 0.006666666666666649, 0.06636842105263156, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.9597366573351741, 0.9649063775727117, 0.9932931444108315, 0.8283553725970303, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.11538461538461539, 0.10138248847926268, 0.10569105691056911, 0.12631578947368421, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.08791208791208792, 0.055299539170506916, 0.024390243902439025, 0.2736842105263158, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.016483516483516484, 0.018433179723502304, 0.0040650406504065045, 0.05263157894736842, 0.0]"
186:8,2024-05-10 21:40:00,0.0,0.0,,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
186:8,2024-05-10 21:45:00,13.302999999999969,1.83984375,0.029287837837837855,,0.01756756756756757,0.08108108108108109,0.09594594594594595,0.9559631729514689,0.0,"[2.3959999999999955, 1.8119999999999954, 1.3309999999999973, 1.4119999999999981, 6.351999999999999, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0751953125, 0.4150390625, 0.0, 0.232421875, 1.1171875, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.020913333333333325, 0.018536912751677792, 0.005616033755274251, 0.012656050955413993, 0.26502127659574465, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9674404761904764, 0.9325930143803478, 1.0, 0.9522528294949856, 0.783757940045336, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.06666666666666667, 0.11409395973154363, 0.10126582278481013, 0.08917197452229299, 0.1276595744680851, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.05333333333333334, 0.1342281879194631, 0.0, 0.11464968152866242, 0.2978723404255319, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.013333333333333334, 0.03355704697986577, 0.0, 0.025477707006369428, 0.0425531914893617, 0.0, 0.0, 0.0, 0.0, 0.0]"
