databaseid,qminute,cputime_sum,scanbytes_sum,avg_durationtime,avg_memoryused,join,agg,sort,filter,proj,cputime_interval,scanbytes_interval,duration_interval,memory_interval,filter_interval,sort_interval,agg_interval,join_interval
186:8,2024-05-04 20:45:34,264.1774189558497,6.167208814841231,45.0715294117647,,0.0,1.0,0.11764705882352941,0.0,0.0,"[21.769642105543834, 22.976016787407424, 15.003455608683538, 27.60917007503231, 27.523977203630345, 15.000547313948681, 15.000547313948681, 30.69720047831172, 45.004226913900965, 43.592635155442224]","[0.4458489601330416, 0.6317911391765552, 0.4211532079866935, 0.66571691512298, 0.6425637646719424, 0.29102590495492614, 0.29102590495492614, 0.41592049060138053, 0.7848488729837535, 1.5773136542550321]","[5.494916666666666, 29.619600000000002, 108.519, 163.8865, 163.8865, 219.254, 219.254, 122.88799999999999, 122.88799999999999, 147.9395]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.16666666666666666, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
186:8,2024-05-04 20:50:34,277.2272745441228,19.00972828466654,145.08728571428568,,0.0,1.0,0.0,0.0,0.0,"[30.496917398391282, 15.002286025098956, 15.002286025098956, 28.05202335827245, 30.003895931766262, 40.53157861745699, 43.50181405312692, 15.769403573020014, 28.865354576562115, 30.001714985328856]","[1.9500864966465463, 1.5888499487408176, 1.5888499487408176, 2.2632803512522823, 3.0186629941789147, 3.241244848923038, 3.176637410256252, 0.39039831868426506, 0.8730767416395129, 0.9186412256040943]","[173.92366666666666, 223.094, 223.094, 113.57499999999999, 162.7925, 160.04166666666666, 160.04166666666666, 128.5155, 188.1045, 188.1045]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
186:8,2024-05-04 20:55:34,269.17223345354535,7.628817363766325,26.8434705882353,,0.0,1.0,0.11764705882352941,0.0,0.0,"[21.744179168660988, 18.4696508006109, 39.03083791765596, 33.58676677679081, 41.58082577757385, 31.624579738505147, 31.44128034829037, 21.692862803239443, 15.000625061108911, 15.000625061108911]","[0.7440560208098663, 0.6014827430940733, 0.8475764930940733, 1.0881776647330355, 1.260865953314169, 0.7340733490854555, 0.45656752503330084, 0.7368969377054035, 0.5795603384484739, 0.5795603384484739]","[188.1045, 127.706, 55.3278, 21.211714285714287, 62.424800000000005, 84.32, 10.433444444444445, 71.4725, 263.973, 263.973]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.5, 0.4, 0.07142857142857142, 0.4, 0.5, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
186:8,2024-05-04 21:00:34,237.77807304648212,6.296784599225902,11.263980000000004,,0.0,1.0,0.08,0.0,0.0,"[15.000625061108911, 21.742079881376032, 30.002660786684974, 51.64003990493315, 43.7157196714415, 39.26733752260263, 25.85661882928656, 10.552991389048419, 0.0, 0.0]","[0.5795603384484739, 0.7528717663586313, 0.9652373625445514, 1.3581264504830903, 0.9226698369076225, 1.013883340095924, 0.4918612196721588, 0.2125742847154504, 0.0, 0.0]","[263.973, 176.19650000000001, 176.19650000000001, 83.66800000000002, 27.574666666666662, 18.08194444444445, 5.092428571428571, 5.8778, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.0, 0.21428571428571427, 0.2, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
186:8,2024-05-04 21:05:34,0.0,0.0,,,,,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
186:8,2024-05-04 21:10:34,14.973,1.212890625,0.29839175257731965,,0.041237113402061855,1.0,0.08247422680412371,0.5163730238605676,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 4.578, 8.883000000000001, 0.719, 0.139, 0.6539999999999999]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.67578125, 0.3662109375, 0.0810546875, 0.0419921875, 0.0478515625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.2868387096774193, 0.419609756097561, 0.10546153846153847, 0.075, 0.1391111111111111]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.6317934830008118, 0.4474039708295984, 0.4664265500385901, 0.3651591289782245, 0.5555555555555556]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0967741935483871, 0.0975609756097561, 0.07692307692307693, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.06451612903225806, 0.04878048780487805, 0.0, 0.0, 0.0]"
186:8,2024-05-04 21:15:34,18.856999999999996,0.46484375,0.5253098591549297,,0.0,1.0,0.14084507042253522,0.5175866122911189,0.0,"[0.37200000000000005, 2.207790609175056, 2.1482093908249436, 5.438000000000001, 2.0669999999999993, 0.7200000000000001, 1.328, 1.6719999999999997, 1.359, 1.545]","[0.0498046875, 0.0703125, 0.0439453125, 0.05078125, 0.0791015625, 0.046875, 0.048828125, 0.0380859375, 0.0166015625, 0.0205078125]","[0.08800000000000001, 0.5408999999999999, 0.6095, 0.984, 0.5857142857142857, 0.34575, 0.327375, 0.5506666666666666, 0.6739999999999999, 0.5103333333333333]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.5, 0.514937106918239, 0.6423485309119049, 0.5090455396132252, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.125, 0.0, 0.125, 0.2727272727272727, 0.14285714285714285, 0.25, 0.25, 0.0, 0.25, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
186:8,2024-05-04 21:20:34,17.685999999999996,0.36328125,0.5559365079365081,,0.0,1.0,0.07936507936507936,0.5079365079365079,0.0,"[1.8510000000000002, 2.159, 1.817, 1.179, 1.974, 0.768, 1.437, 2.05, 2.532, 1.9189999999999996]","[0.07421875, 0.0224609375, 0.0400390625, 0.0263671875, 0.044921875, 0.0615234375, 0.009765625, 0.0224609375, 0.03515625, 0.0263671875]","[0.6121666666666666, 0.7093333333333334, 0.4486249999999999, 0.3878333333333333, 0.4343333333333333, 0.37975, 0.9513333333333333, 0.6789999999999999, 0.7171428571428571, 0.475375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.5, 0.5, 0.5, 0.4444444444444444, 0.5, 0.6666666666666666, 0.5, 0.42857142857142855, 0.625]","[0.0, 0.0, 0.125, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666, 0.2857142857142857, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
186:8,2024-05-04 21:25:34,33.528999999999996,1.5498046875,0.7223369565217389,,0.010869565217391304,1.0,0.13043478260869565,0.5081039715714856,0.0,"[3.206, 7.581779616386157, 2.2322203836138437, 0.0, 2.009545160985829, 2.4924548390141714, 3.5928737908335933, 6.923126209166407, 3.6060000000000003, 1.8849999999999998]","[0.0400390625, 0.08984375, 0.04296875, 0.0, 0.4585194251351286, 0.5805430748648714, 0.04296875, 0.07421875, 0.04296875, 0.177734375]","[0.7972500000000001, 1.5484545454545455, 2.343428571428572, 0.0, 0.3819166666666667, 0.33947058823529414, 1.1277142857142857, 0.7833333333333337, 1.1951666666666665, 0.6221666666666666]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.461482292807594, 0.5714285714285714, 0.0, 0.14628678795996577, 0.15535831973213377, 0.8571428571428571, 0.9177489177489178, 0.8333333333333334, 0.16666666666666666]","[0.0, 0.2727272727272727, 0.14285714285714285, 0.0, 0.08333333333333333, 0.058823529411764705, 0.14285714285714285, 0.19047619047619047, 0.16666666666666666, 0.0]","[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
186:8,2024-05-04 21:30:34,20.897,3.931640625,0.40406862745098043,,0.0392156862745098,1.0,0.06862745098039216,0.0414882587837724,0.0,"[2.140315900633327, 2.909684099366672, 1.6449999999999998, 0.6380000000000001, 2.0010000000000003, 0.8870000000000001, 1.728, 0.564, 5.084, 3.3]","[0.21111983588104655, 0.41778641411895345, 0.38671875, 0.439453125, 0.443359375, 0.38671875, 0.4296875, 0.47265625, 0.314453125, 0.4296875]","[0.5998181818181818, 0.5002500000000001, 0.35766666666666663, 0.11063636363636364, 0.35854545454545456, 0.19177777777777777, 0.3388, 0.0979090909090909, 1.1236666666666666, 0.6545000000000001]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2727272727272727, 0.09237622705932565, 0.0, 0.0, 0.011207970112079706, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.1111111111111111, 0.09090909090909091, 0.09090909090909091, 0.1111111111111111, 0.1, 0.18181818181818182, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2727272727272727, 0.0, 0.0, 0.09090909090909091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
